window_number,window_start,window_end,best_generation,best_fitness,average_environment_score,environment_score_std,minimum_environment_score,maximum_environment_score,ga_total_feed_g,fixed_total_feed_g,feed_saved_g,feed_saved_percent,cost_saved,ga_estimated_final_abw_g,fixed_estimated_final_abw_g,abw_improvement_g,ga_fitness_score,fixed_fitness_score,fitness_improvement,growth_target_status,ga_schedule_g
56,2024-02-25,2024-03-02,172,1885.5196894010794,0.7884642857142855,0.1256246839776712,0.65025,0.9212499999999997,912.9435602917372,1050.0,137.05643970826281,13.052994257929793,3.803316201904291,22.028895914885315,21.857703025952336,0.17119288893297835,1885.519689401079,1802.5129747560009,83.00671464507809,Target Growth Achieved,124.12;124.26;124.07;131.20;136.46;136.45;136.39
57,2024-02-26,2024-03-03,198,1897.254697848365,0.8271785714285712,0.1186279985535299,0.65025,0.9212499999999997,925.36779497863,1050.0,124.63220502137005,11.869733811559053,3.458543689343017,22.132332496347686,21.971795563140223,0.16053693320746376,1897.2546978483651,1862.12672568262,35.12797216574518,Target Growth Achieved,124.20;124.22;131.20;136.44;136.41;136.44;136.45
58,2024-02-27,2024-03-04,189,1908.9868523319826,0.8658928571428568,0.09677836028993334,0.65025,0.9212499999999997,937.6823865768027,1050.0,112.31761342319726,10.696915564114025,3.1168137724937246,22.23552629677917,22.08588810032811,0.14963819645106113,1908.9868523319826,1878.5789915295297,30.407860802452888,Target Growth Achieved,124.23;131.21;136.43;136.44;136.47;136.46;136.44
59,2024-02-28,2024-03-05,198,1920.713510849647,0.9046071428571425,0.04076650786203433,0.8047499999999996,0.9212499999999997,949.8160352638345,1050.0,100.18396473616554,9.541329974872909,2.780105021428593,22.33837782681092,22.199980637515996,0.13839718929492406,1920.713510849647,1895.0312573764395,25.68225347320754,Target Growth Achieved,131.21;136.41;136.44;136.43;136.45;136.42;136.45
60,2024-02-29,2024-03-06,188,1925.8561909502616,0.9212499999999997,0.0,0.9212499999999997,0.9212499999999997,955.1050680620946,1050.0,94.89493193790543,9.037612565514802,2.633334361276873,22.382742075083303,22.249220899040235,0.13352117604306812,1925.8561909502625,1901.559880913621,24.296310036641444,Target Growth Achieved,136.44;136.46;136.43;136.41;136.45;136.46;136.45
61,2024-03-01,2024-03-07,191,1925.853039880315,0.9212499999999997,0.0,0.9212499999999997,0.9212499999999997,955.1161284119124,1050.0,94.88387158808757,9.036559198865483,2.633027436569428,22.38272296552018,22.249220899040235,0.13350206647994511,1925.853039880315,1901.559880913621,24.29315896669391,Target Growth Achieved,136.44;136.41;136.47;136.43;136.47;136.44;136.46
62,2024-03-02,2024-03-08,181,1925.8542216893502,0.9212499999999997,0.0,0.9212499999999997,0.9212499999999997,955.0692728052063,1050.0,94.93072719479369,9.041021637599398,2.6343276796555237,22.382668728781596,22.249220899040235,0.13344782974136038,1925.8542216893497,1901.559880913621,24.294340775728642,Target Growth Achieved,136.44;136.46;136.46;136.43;136.41;136.45;136.43
63,2024-03-03,2024-03-09,181,1925.845238367485,0.9212499999999997,0.0,0.9212499999999997,0.9212499999999997,955.0381932656445,1050.0,94.96180673435549,9.043981593748143,2.6351901368783643,22.382524228622884,22.249220899040235,0.1333033295826489,1925.845238367485,1901.559880913621,24.28535745386398,Target Growth Achieved,136.42;136.45;136.43;136.46;136.36;136.45;136.47
64,2024-03-04,2024-03-10,170,1925.8433588167693,0.9212499999999997,0.0,0.9212499999999997,0.9212499999999997,955.01112742564,1050.0,94.98887257436002,9.046559292796193,2.635941213938491,22.382464430062743,22.249220899040235,0.13324353102250797,1925.8433588167693,1901.559880913621,24.283477903148196,Target Growth Achieved,136.44;136.47;136.43;136.44;136.45;136.41;136.36
65,2024-03-05,2024-03-11,195,1925.8558354626678,0.9212499999999997,0.0,0.9212499999999997,0.9212499999999997,955.0803180766698,1050.0,94.91968192333024,9.039969706983833,2.634021173372414,22.382702540242096,22.249220899040235,0.13348164120186112,1925.8558354626678,1901.559880913621,24.295954549046655,Target Growth Achieved,136.43;136.45;136.46;136.42;136.44;136.43;136.45
